title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
PROJECTS/EWTF_Risk_Areas,https://cagisonline.hamilton-co.org/arcgis/rest/services/PROJECTS/EWTF_Risk_Areas/MapServer,Map Service,"Ohio,Hamilton,EnergyAtlas,PROJECTS",Extreme Weather Task Force Map,https://cagisonline.hamilton-co.org/arcgis/rest/services/PROJECTS/EWTF_Risk_Areas/MapServer/info/thumbnail,Environmental risk management,8,environmental
Contours/Contours,https://gis.co.holmes.oh.us/arcgis/rest/services/Contours/Contours/MapServer,Map Service,"Ohio,Holmes,EnergyAtlas,Contours",No description,https://gis.co.holmes.oh.us/arcgis/rest/services/Contours/Contours/MapServer/info/thumbnail,topography,8,topography
Basemaps/Imagery2020,https://apps.lcounty.com/arcgis/rest/services/Basemaps/Imagery2020/MapServer,Map Service,"Ohio,Licking,EnergyAtlas,Basemaps",This service contains aerial imagery captured in spring 2020 at 3in pixel resolution by Woolpert.,https://apps.lcounty.com/arcgis/rest/services/Basemaps/Imagery2020/MapServer/info/thumbnail,mapping and visualization,8,basemaps
Basemaps/Imagery2020_WM,https://apps.lcounty.com/arcgis/rest/services/Basemaps/Imagery2020_WM/MapServer,Map Service,"Ohio,Licking,EnergyAtlas,Basemaps",This service contains aerial imagery captured in spring 2020 at 3in pixel resolution by Woolpert.,https://apps.lcounty.com/arcgis/rest/services/Basemaps/Imagery2020_WM/MapServer/info/thumbnail,Imagery for mapping,8,imagery
Basemaps/OhioImagery,https://apps.lcounty.com/arcgis/rest/services/Basemaps/OhioImagery/MapServer,Map Service,"Ohio,Licking,EnergyAtlas,Basemaps",This service contains imagery for the state of Ohio from various years as a background layer.,https://apps.lcounty.com/arcgis/rest/services/Basemaps/OhioImagery/MapServer/info/thumbnail,geomatics,8,basemaps
TylerProduction/Centerlines,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/Centerlines/MapServer,Map Service,"Ohio,Lucas,EnergyAtlas,TylerProduction",To view and query parcels within a 3rd party application.,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/Centerlines/MapServer/info/thumbnail,oil and gas,8,pipelines
TylerProduction/PRCmap,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/PRCmap/MapServer,Map Service,"Ohio,Lucas,EnergyAtlas,TylerProduction",A map within the Property Record Card to idenify where the parcel is located.,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/PRCmap/MapServer/info/thumbnail,oil and gas,8,licenses
TylerProduction/PriorYearsParcels,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/PriorYearsParcels/MapServer,Map Service,"Ohio,Lucas,EnergyAtlas,TylerProduction",To view and query parcels within a 3rd party application.,https://lcapps.co.lucas.oh.us/arcgis/rest/services/TylerProduction/PriorYearsParcels/MapServer/info/thumbnail,oil and gas,8,leases
SP/ParcelDrafter,https://engineer01.gomvo.org/arcgis/rest/services/SP/ParcelDrafter/FeatureServer,Feature Service,"Ohio,Montgomery,EnergyAtlas,SP"," Deeds, recorded documents, and other parcel descriptions entered with the Parcel Drafter application.",https://engineer01.gomvo.org/arcgis/rest/services/SP/ParcelDrafter/FeatureServer/info/thumbnail,geomatics,8,geomatics
SP/ParcelDrafter,https://engineer01.gomvo.org/arcgis/rest/services/SP/ParcelDrafter/MapServer,Map Service,"Ohio,Montgomery,EnergyAtlas,SP"," Deeds, recorded documents, and other parcel descriptions entered with the Parcel Drafter application.",https://engineer01.gomvo.org/arcgis/rest/services/SP/ParcelDrafter/MapServer/info/thumbnail,geomatics,8,geomatics
