title,url,type,tags,description,thumbnailUrl,energy,energy_related,tag
Topographic/Contours,https://maps.nashville.gov/arcgis/rest/services/Topographic/Contours/MapServer,Map Service,"Tennessee,Nashville,EnergyAtlas,Topographic",This layer contains Contour Elevation lines derived from LIDAR acquired in 2011. The contour interval is 2 ft.,https://maps.nashville.gov/arcgis/rest/services/Topographic/Contours/MapServer/info/thumbnail,Topographic/Contours,8,topography
GW/GCD_PLUGGING_PGRMS_2014,https://gisweb.tceq.texas.gov/arcgis/rest/services/GW/GCD_PLUGGING_PGRMS_2014/MapServer,Map Service,"Texas,Texas Commission on Environmental Quality,EnergyAtlas,GW",2014 Texas Alliance of Groundwater Districts (TAGD) and Texas Commission on Environmental Quality (TCEQ) GCD survey results. ArcGIS Online (AGO) web map/app embedded on Texas Groundwater Protection Committee (TGPC) Water Wells webpage (http://tgpc.texas.gov/water-wells/#7).,https://gisweb.tceq.texas.gov/arcgis/rest/services/GW/GCD_PLUGGING_PGRMS_2014/MapServer/info/thumbnail,plugging programs,8,wells
WOM/SanAntGuad_PRD,https://gisweb.tceq.texas.gov/arcgis/rest/services/WOM/SanAntGuad_PRD/MapServer,Map Service,"Texas,Texas Commission on Environmental Quality,EnergyAtlas,WOM","This map is associated with a research project at The University of Texas at Austin funded by the Texas Commission on Environmental Quality. The goal of the project is to provide Texas Watermasters with estimates of stream discharge forecasted for all rivers within a basin. Discharge is computed using Cedric David’s RAPID river routing model (http://rapid-hub.org/) which routes catchment runoff forecasted by the National Weather Service. The map is updated regularly (hourly to daily, depending on the arrival of forecasts) with computed discharge values. Map layers such as active diversions associated with water right permit holders provide additional context. This research is ongoing; therefore, use this map with caution, bearing in mind that it is still experimental and may change or be taken offline without warning.",https://gisweb.tceq.texas.gov/arcgis/rest/services/WOM/SanAntGuad_PRD/MapServer/info/thumbnail,WOM/SanAntGuad_PRD,10,wells
WOM/Brazos_PRD,https://gisweb.tceq.texas.gov/arcgis/rest/services/WOM/Brazos_PRD/MapServer,Map Service,"Texas,Texas Commission on Environmental Quality,EnergyAtlas,WOM","This map is associated with a research project at The University of Texas at Austin funded by the Texas Commission on Environmental Quality. The goal of the project is to provide Texas Watermasters with estimates of stream discharge forecasted for all rivers within a basin. Discharge is computed using Cedric David’s RAPID river routing model (http://rapid-hub.org/) which routes catchment runoff forecasted by the National Weather Service. The map is updated regularly (hourly to daily, depending on the arrival of forecasts) with computed discharge values. Map layers such as active diversions associated with water right permit holders provide additional context. This research is ongoing; therefore, use this map with caution, bearing in mind that it is still experimental and may change or be taken offline without warning.",https://gisweb.tceq.texas.gov/arcgis/rest/services/WOM/Brazos_PRD/MapServer/info/thumbnail,WOM/Brazos_PRD,10,pipelines
Bathymetry/Bathymetry_TX_LA_Coast,https://feature.tnris.org/arcgis/rest/services/Bathymetry/Bathymetry_TX_LA_Coast/MapServer,Map Service,"Texas,Texas Natural Resources Information System,EnergyAtlas,Bathymetry","Bathymetry of the Texas-Louisiana Continental Shelf was compiled in a project carried out in 2004 - 2006 sponsored by the Texas Sea Grant College Program. The project objective was to provide for the first time new bathymetry as good as the available underlying historical U. S. Coast Survey bathymetric survey data. The mapped extent was the Texas coastal region, including bays and estuaries, and the Continental Shelf out to the 100-meter isobath. Land topography was added, and bathymetry and land topography were co-registered to a common shoreline, providing seamless across-the-shore map coverage at a uniform contour interval of one meter.",https://feature.tnris.org/arcgis/rest/services/Bathymetry/Bathymetry_TX_LA_Coast/MapServer/info/thumbnail,Bathymetry data for Texas and Louisiana Coast,8,bathymetry
futurerenewables/FutureRenewablesResults,https://coastal.beg.utexas.edu/arcgis/rest/services/futurerenewables/FutureRenewablesResults/MapServer,Map Service,"Texas,Texas Bureau of Economic Geology,EnergyAtlas,futurerenewables",No description,https://coastal.beg.utexas.edu/arcgis/rest/services/futurerenewables/FutureRenewablesResults/MapServer/info/thumbnail,renewables,10,renewables
futurerenewables/ProbabilityRasters,https://coastal.beg.utexas.edu/arcgis/rest/services/futurerenewables/ProbabilityRasters/ImageServer,Image Service,"Texas,Texas Bureau of Economic Geology,EnergyAtlas,futurerenewables",futurerenewables/ProbabilityRasters,https://coastal.beg.utexas.edu/arcgis/rest/services/futurerenewables/ProbabilityRasters/ImageServer/info/thumbnail,renewables,10,renewables
surfacecasing/surfacecasing_client,https://coastal.beg.utexas.edu/arcgis/rest/services/surfacecasing/surfacecasing_client/MapServer,Map Service,"Texas,Texas Bureau of Economic Geology,EnergyAtlas,surfacecasing",No description,https://coastal.beg.utexas.edu/arcgis/rest/services/surfacecasing/surfacecasing_client/MapServer/info/thumbnail,surface casing,10,wells
surfacecasing/surfacecasing_backend_rasters,https://coastal.beg.utexas.edu/arcgis/rest/services/surfacecasing/surfacecasing_backend_rasters/MapServer,Map Service,"Texas,Texas Bureau of Economic Geology,EnergyAtlas,surfacecasing",No description,https://coastal.beg.utexas.edu/arcgis/rest/services/surfacecasing/surfacecasing_backend_rasters/MapServer/info/thumbnail,surface casing,8,wells
FW_Environment/environment_usgs_protected_areas_all_sarb,https://gis.sara-tx.org/ags1/rest/services/FW_Environment/environment_usgs_protected_areas_all_sarb/MapServer,Map Service,"Texas,San Antonio River Authority,EnergyAtlas,FW_Environment","The USGS Protected Areas Database of the United States (PAD-US) is the nation's inventory of protected areas, including public open space and voluntarily provided, private protected areas, identified as an A-16 National Geospatial Data Asset in the Cadastral Theme (http://www.fgdc.gov/ngda-reports/NGDA_Datasets.html). PAD-US is an ongoing project with several published versions of a spatial database of areas dedicated to the preservation of biological diversity, and other natural, recreational or cultural uses, managed for these purposes through legal or other effective means. The geodatabase maps and describes public open space and other protected areas. Most areas are public lands owned in fee; however, long-term easements, leases, and agreements or administrative designations documented in agency management plans may be included. The PAD-US database strives to be a complete “best available” inventory of protected areas (lands and waters) including data provided by managing agencies and organizations. The dataset is built in collaboration with several partners and data providers (http://gapanalysis.usgs.gov/padus/stewards/). See Supplemental Information Section of this metadata record for more information on partnerships and links to major partner organizations. As this dataset is a compilation of many data sets; data completeness, accuracy, and scale may vary. Federal and state data are generally complete, while local government and private protected area coverage is about 50% complete, and depends on data management capacity in the state. For completeness estimates by state: http://www.protectedlands.net/partners. As the federal and state data are reasonably complete; focus is shifting to completing the inventory of local gov and voluntarily provided, private protected areas. The PAD-US geodatabase contains over twenty-five attributes and four feature classes to support data management, queries, web mapping services and analyses: Marine Protected Areas (MPA), Fee, Easements and Combined. The data contained in the MPA Feature class are provided directly by the National Oceanic and Atmospheric Administration (NOAA) Marine Protected Areas Center (MPA, http://marineprotectedareas.noaa.gov ) tracking the National Marine Protected Areas System. The Easements feature class contains data provided directly from the National Conservation Easement Database (NCED, http://conservationeasement.us ) The MPA and Easement feature classes contain some attributes unique to the sole source databases tracking them (e.g. Easement Holder Name from NCED, Protection Level from NOAA MPA Inventory). The ""Combined"" feature class integrates all fee, easement and MPA features as the best available national inventory of protected areas in the standard PAD-US framework. In addition to geographic boundaries, PAD-US describes the protection mechanism category (e.g. fee, easement, designation, other), owner and managing agency, designation type, unit name, area, public access and state name in a suite of standardized fields. An informative set of references (i.e. Aggregator Source, GIS Source, GIS Source Date) and ""local"" or source data fields provide a transparent link between standardized PAD-US fields and information from authoritative data sources. The areas in PAD-US are also assigned conservation measures that assess management intent to permanently protect biological diversity: the nationally relevant ""GAP Status Code"" and global ""IUCN Category"" standard. A wealth of attributes facilitates a wide variety of data analyses and creates a context for data to be used at local, regional, state, national and international scales. More information about specific updates and changes to this PAD-US version can be found in the Data Quality Information section of this metadata record as well as on the PAD-US website, http://gapanalysis.usgs.gov/padus/data/history/.) Due to the completeness and complexity of these data, it is highly recommended to review the Supplemental Information Section of the metadata record as well as the Data Use Constraints, to better understand data partnerships as well as see tips and ideas of appropriate uses of the data and how to parse out the data that you are looking for. For more information regarding the PAD-US dataset please visit, http://gapanalysis.usgs.gov/padus/. To find more data resources as well as view example analysis performed using PAD-US data visit, http://gapanalysis.usgs.gov/padus/resources/. The PAD-US dataset and data standard are compiled and maintained by the USGS Gap Analysis Program, http://gapanalysis.usgs.gov/ . For more information about data standards and how the data are aggregated please review the “Standards and Methods Manual for PAD-US,” http://gapanalysis.usgs.gov/padus/data/standards/ .",https://gis.sara-tx.org/ags1/rest/services/FW_Environment/environment_usgs_protected_areas_all_sarb/MapServer/info/thumbnail,environment_usgs_protected_areas_all_sarb,10,environmental
FW_Infrastructure/infrastructure_saws_recycle_mains,https://gis.sara-tx.org/ags1/rest/services/FW_Infrastructure/infrastructure_saws_recycle_mains/MapServer,Map Service,"Texas,San Antonio River Authority,EnergyAtlas,FW_Infrastructure","SAWS Infrastructure Data: Water, WasteWater, Re-Use Water, and proposed lines. Data was downloaded through SAWS FTP site on 11/2015.Partnership/Contact: Cindy Tuttle (Cindy.Tuttle@saws.org) ",https://gis.sara-tx.org/ags1/rest/services/FW_Infrastructure/infrastructure_saws_recycle_mains/MapServer/info/thumbnail,infrastructure,8,infrastructure
FW_Infrastructure/infrastructure_saws_sewer_proposed_mains,https://gis.sara-tx.org/ags1/rest/services/FW_Infrastructure/infrastructure_saws_sewer_proposed_mains/MapServer,Map Service,"Texas,San Antonio River Authority,EnergyAtlas,FW_Infrastructure","SAWS Infrastructure Data: Water, WasteWater, Re-Use Water, and proposed lines. Data was downloaded through SAWS FTP site on 11/2015.Partnership/Contact: Cindy Tuttle (Cindy.Tuttle@saws.org) ",https://gis.sara-tx.org/ags1/rest/services/FW_Infrastructure/infrastructure_saws_sewer_proposed_mains/MapServer/info/thumbnail,infrastructure,8,infrastructure
SARA_WSE/wse_weather_stations,https://gis.sara-tx.org/ags1/rest/services/SARA_WSE/wse_weather_stations/MapServer,Map Service,"Texas,San Antonio River Authority,EnergyAtlas,SARA_WSE",SARA Weather Stations,https://gis.sara-tx.org/ags1/rest/services/SARA_WSE/wse_weather_stations/MapServer/info/thumbnail,weather stations,8,weather
SARA_WSE/wse_weather_stations,https://gis.sara-tx.org/ags1/rest/services/SARA_WSE/wse_weather_stations/FeatureServer,Feature Service,"Texas,San Antonio River Authority,EnergyAtlas,SARA_WSE",SARA Weather Stations,https://gis.sara-tx.org/ags1/rest/services/SARA_WSE/wse_weather_stations/FeatureServer/info/thumbnail,weather stations,8,weather
Web_Apps/we_environmental,https://gis.sara-tx.org/ags1/rest/services/Web_Apps/we_environmental/MapServer,Map Service,"Texas,San Antonio River Authority,EnergyAtlas,Web_Apps",Combined group containing evironmental data.<BR><BR>Includes:<BR>Critical Habitat<BR>Ecoregions<BR>Geology<BR>Soils<BR>,https://gis.sara-tx.org/ags1/rest/services/Web_Apps/we_environmental/MapServer/info/thumbnail,environmental,10,environmental
Imagery/Imagery_2020_WGS1984,https://cceo.org/arcgissrv/rest/services/Imagery/Imagery_2020_WGS1984/MapServer,Map Service,"Texas,Comal,EnergyAtlas,Imagery",No description,https://cceo.org/arcgissrv/rest/services/Imagery/Imagery_2020_WGS1984/MapServer/info/thumbnail,Imagery/Imagery_2020_WGS1984,10,imagery
Imagery/Imagery,https://cceo.org/arcgissrv/rest/services/Imagery/Imagery/MapServer,Map Service,"Texas,Comal,EnergyAtlas,Imagery",No description,https://cceo.org/arcgissrv/rest/services/Imagery/Imagery/MapServer/info/thumbnail,Imagery,10,imagery
